Platform,Positive Proportion,Negative Proportion,Neutral Proportion
amazon,0.7544252288911495,0.17151576805696847,0.074059003051882
bestbuy,0.914456834390638,0.0518538949525198,0.03368927065684227
ebay,0.8584994190723032,0.06803557064974529,0.07346501027795156
flipkart,0.7813655371456861,0.11446538230616093,0.10416908054815299
walmart,0.6598326499316598,0.10827749441610827,0.23188985565223189
